sub,Condition,Event.Nr,CDA.AmpSum,expected_value,pe,scr
sub-204,CSminus2,66,0.0,0.3915517577787128,-0.3249568366339069,0.0
sub-204,CSminus2,67,0.0,0.3467289449293667,-0.28868375572035054,0.0
sub-204,CSplus2,68,0.0,0.08613608237051233,-0.07622717883632778,0.0
sub-204,CSminus2,69,0.0,0.30820630691813616,-0.25745639186403735,0.0
sub-085,CSplusUS1,1,1.1273,0.09077782597058616,0.5,1.1273
sub-085,CSminus1,2,0.1596,0.06079122900805057,-0.5,0.1596
sub-085,CSplus1,3,0.18,0.07138132342975086,-0.5880782901428658,0.18
sub-085,CSplusUS1,4,0.0117,0.08799815643673635,0.5261056801119772,0.0117
sub-085,CSminus1,5,0.0763,0.05020113458635107,-0.4119217098571357,0.0763
sub-085,CSplus1,6,0.0147,0.06959499043643216,-0.5733848208126974,0.0147
sub-085,CSplus1,7,0.0737,0.05676243389758687,-0.4639479934649375,0.0737
sub-085,CSminus1,8,0.0,0.042390709698500846,-0.34994909982625033,0.0
sub-085,CSplusUS1,9,0.0,0.07748794388440743,0.6099222766909768,0.0
sub-085,CSminus1,10,0.3706,0.03636661780396914,-0.30266995912552447,0.3706
sub-085,CSplusUS1,11,0.2819,0.09162001900374662,0.4891742953485067,0.2819
sub-085,CSplus1,12,0.0,0.07172345985398465,-0.5915339291577459,0.0
sub-085,CSminus1,13,0.1165,0.031591651486051316,-0.26533714484788334,0.1165
sub-085,CSplus1,14,0.0353,0.05815544734961393,-0.4753073998564516,0.0353
sub-085,CSminus1,15,0.0,0.027730139839294732,-0.23515484778818924,0.0
sub-085,CSminus1,16,0.0124,0.024556979116612303,-0.21030619976590373,0.0124
sub-085,CSplus1,17,0.0278,0.04846493132206966,-0.3977426179242696,0.0278
sub-085,CSplusUS1,18,0.0,0.07113076922966718,0.6599237150768509,0.0
sub-085,CSminus1,19,0.0,0.02191456029185333,-0.18954486484095415,0.0
sub-085,CSplus1,20,0.0,0.05661161412858921,-0.47152749351203893,0.0
sub-085,CSplus1,21,0.0155,0.046490483528371644,-0.3836912326480551,0.0155
sub-085,CSminus1,22,0.0,0.019689028244220995,-0.17198312733325116,0.0
sub-085,CSplus1,23,0.0137,0.039208801868258786,-0.3253202138549549,0.0137
sub-085,CSplusUS1,24,0.0,0.06363650997002294,0.7185481792661101,0.0
sub-085,CSminus1,25,0.0479,0.01779607924078949,-0.15697021654885746,0.0479
sub-085,CSplus1,26,0.0407,0.05044582117534377,-0.42320019563247513,0.0407
sub-085,CSminus1,27,0.0166,0.01617200623906055,-0.14401784586464497,0.0166
sub-085,CSplus1,28,0.0115,0.04134979727687465,-0.34326115800187706,0.0115
sub-085,CSplus1,29,0.0,0.03487405155931753,-0.29107807070628355,0.0
sub-085,CSminus1,30,0.0,0.014767829938672122,-0.13275249023572097,0.0
sub-085,CSminusUS2,31,0.0399,0.04353192818554861,0.8771163248519466,0.0399
